,,Education,Default,HHInsurance,CarLoan,LastContactDay,NoOfContacts,DaysPassed,PrevAttempts,CallLength,CallStartHour,LastContactWkd,LastContactMon,LastContactWk,LastContactWkNum,Job_None,Job_admin.,Job_blue-collar,Job_entrepreneur,Job_housemaid,Job_management,Job_retired,Job_self-employed,Job_services,Job_student,Job_technician,Job_unemployed,Marital_divorced,Marital_married,Marital_single,Communication_None,Communication_cellular,Communication_telephone,Outcome_NoPrev,Outcome_failure,Outcome_other,Outcome_success
train,0,3,0,1,0,28,2,-1,0,1.1666666666666667,13,3,1,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
train,1,1,0,1,0,26,5,-1,0,3.0833333333333335,14,3,5,21,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
train,2,3,0,1,0,3,1,119,1,5.666666666666667,16,4,6,22,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
train,3,1,0,1,0,11,2,-1,0,13.65,12,2,5,19,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
train,4,3,0,0,0,3,1,-1,0,3.2,14,4,6,22,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
train,5,3,0,0,0,22,1,109,1,13.266666666666667,14,6,5,20,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
train,6,3,0,1,0,17,1,-1,0,3.25,13,3,3,11,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
train,7,3,0,1,0,12,4,-1,0,1.1,15,3,5,19,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
train,8,2,0,1,0,18,1,-1,0,1.7666666666666666,12,4,11,46,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
train,9,2,0,1,1,12,2,-1,0,5.433333333333334,9,3,5,19,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
train,10,2,0,0,0,1,1,-1,0,3.0166666666666666,13,2,6,22,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0
train,11,1,1,0,0,29,1,-1,0,7.833333333333333,16,4,1,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
train,12,2,0,1,0,27,1,-1,0,11.683333333333334,16,2,1,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
train,13,2,0,1,0,19,2,-1,0,2.716666666666667,10,6,6,24,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
train,14,2,0,0,0,29,8,97,12,4.6,14,4,7,30,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
train,15,3,0,0,0,12,1,114,3,2.183333333333333,16,4,8,32,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
train,16,2,0,1,0,6,3,362,4,1.5333333333333334,11,4,5,18,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
train,17,3,0,0,0,11,4,95,2,10.966666666666667,11,6,9,36,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
train,18,2,0,1,0,6,1,169,2,7.516666666666667,12,4,5,18,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
train,19,1,0,0,0,5,1,-1,0,7.6,10,1,4,14,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
train,20,2,0,1,1,18,8,-1,0,1.6166666666666667,9,5,6,24,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
train,21,2,0,0,0,8,3,91,13,10.1,17,3,9,36,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
train,22,3,0,0,0,21,2,-1,0,3.6333333333333333,14,6,8,33,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
train,23,2,0,0,0,1,1,119,2,5.066666666666666,15,4,7,26,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
train,24,2,0,1,0,9,1,558,7,2.1166666666666667,16,1,2,6,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
train,25,3,0,0,0,17,2,-1,0,4.583333333333333,17,6,7,28,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
train,26,1,0,0,1,20,3,-1,0,1.7333333333333334,10,6,11,46,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
train,27,0,0,0,0,21,3,-1,0,4.633333333333334,12,3,4,16,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
train,28,2,0,1,0,16,3,-1,0,1.8166666666666667,13,3,6,24,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
train,29,1,0,0,0,20,14,-1,0,0.21666666666666667,10,0,6,25,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
train,30,2,0,0,0,30,3,84,3,12.766666666666667,11,5,4,17,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
train,31,2,0,1,0,2,1,194,3,2.566666666666667,10,3,6,22,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
train,32,3,0,0,0,13,3,-1,0,4.733333333333333,10,5,8,32,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
train,33,3,0,0,0,5,2,-1,0,6.383333333333334,15,4,2,5,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
train,34,2,0,1,0,27,7,-1,0,0.65,13,4,5,21,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
train,35,2,0,1,0,14,1,-1,0,8.433333333333334,14,5,5,19,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
train,36,2,0,1,1,21,3,-1,0,16.45,11,5,5,20,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
train,37,2,0,1,0,30,5,-1,0,0.6833333333333333,15,5,7,30,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
train,38,1,0,1,0,18,3,-1,0,10.666666666666666,13,0,7,29,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
train,39,2,0,1,1,17,3,-1,0,1.1666666666666667,15,3,11,46,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
train,40,2,0,1,0,29,2,-1,0,2.15,17,6,5,21,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
train,41,2,0,1,0,29,1,-1,0,2.2333333333333334,11,6,5,21,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
train,42,3,0,0,0,5,1,-1,0,11.65,9,4,2,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
train,43,2,0,1,0,15,1,176,1,7.2,10,6,5,19,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
train,44,3,0,0,0,21,1,-1,0,0.6,11,6,8,33,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
train,45,2,0,1,0,3,3,-1,0,1.8833333333333333,16,4,6,22,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
train,46,2,0,1,0,23,1,-1,0,12.683333333333334,12,5,7,29,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
train,47,1,0,0,0,9,2,-1,0,18.433333333333334,16,6,10,40,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
train,48,2,0,0,0,2,4,-1,0,1.1833333333333333,17,3,6,22,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
train,49,2,0,0,0,4,4,-1,0,3.45,9,3,2,5,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
train,50,2,0,1,0,16,1,-1,0,4.383333333333334,16,5,4,15,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
train,51,1,0,0,0,17,1,-1,0,1.2,10,4,6,24,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
train,52,2,0,1,1,20,1,-1,0,7.566666666666666,13,6,11,46,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
train,53,2,0,0,0,20,3,-1,0,5.85,16,4,5,20,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
train,54,2,0,0,1,29,1,-1,0,2.066666666666667,9,4,1,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
train,55,2,0,0,0,2,3,-1,0,23.666666666666668,16,1,2,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
train,56,2,0,1,0,21,1,171,5,4.716666666666667,14,0,11,47,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
train,57,2,0,0,1,13,1,327,1,1.5333333333333334,17,3,10,41,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
train,58,3,0,1,0,18,1,-1,0,10.2,13,2,5,20,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
train,59,2,0,0,0,26,1,-1,0,5.15,12,3,5,21,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
train,60,3,0,0,0,28,4,-1,0,1.35,15,6,8,34,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
train,61,2,0,0,0,18,2,-1,0,19.683333333333334,16,4,11,46,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
train,62,1,0,0,0,12,1,-1,0,4.45,13,4,8,32,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
train,63,2,0,0,0,23,2,-1,0,2.2,16,0,5,21,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
train,64,2,0,1,0,15,4,-1,0,16.7,9,6,5,19,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0
train,65,3,0,0,0,1,1,-1,0,4.916666666666667,14,2,6,22,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
train,66,2,0,0,0,29,1,-1,0,0.4166666666666667,12,4,1,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
train,67,3,0,1,0,20,1,-1,0,3.0833333333333335,10,2,4,16,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
train,68,2,0,1,0,15,1,-1,0,2.25,17,4,4,15,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
train,69,3,0,1,0,18,1,-1,0,5.266666666666667,17,5,6,24,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
train,70,3,0,1,0,7,2,-1,0,23.183333333333334,9,5,5,18,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
train,71,2,0,1,0,26,2,-1,0,5.683333333333334,14,3,5,21,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
train,72,2,0,0,0,2,7,94,2,3.433333333333333,14,4,9,35,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
train,73,2,0,1,0,29,3,-1,0,3.4833333333333334,13,6,5,21,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
train,74,3,0,0,0,27,4,-1,0,0.9666666666666667,17,5,8,34,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
train,75,2,0,0,0,10,1,183,1,2.816666666666667,13,2,2,6,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
train,76,3,0,1,0,23,1,320,1,3.0166666666666666,11,3,6,25,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
train,77,3,0,1,0,30,1,-1,0,5.2,13,0,5,22,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
train,78,3,0,1,0,15,1,176,1,2.55,15,6,5,19,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
train,79,2,0,1,0,29,1,-1,0,5.366666666666666,15,6,5,21,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
train,80,2,0,1,0,15,3,-1,0,20.95,11,6,5,19,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
train,81,3,0,0,0,27,6,-1,0,0.95,9,5,8,34,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
train,82,2,0,1,1,12,2,-1,0,4.816666666666666,14,3,5,19,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
train,83,1,0,0,0,17,1,-1,0,1.5666666666666667,10,4,6,24,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
train,84,1,0,0,0,29,2,-1,0,31.95,9,4,1,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
train,85,2,0,0,0,10,1,-1,0,4.466666666666667,17,6,7,27,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
train,86,2,1,1,1,7,1,-1,0,3.783333333333333,11,5,5,18,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
train,87,2,0,1,0,13,2,-1,0,20.116666666666667,11,4,5,19,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
train,88,2,0,1,0,15,3,352,6,7.666666666666667,16,6,5,19,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
train,89,2,0,0,0,24,1,-1,0,20.066666666666666,10,6,7,29,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
train,90,3,0,1,1,6,1,-1,0,20.016666666666666,17,4,5,18,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
train,91,2,0,1,0,30,2,-1,0,10.866666666666667,16,0,5,22,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
train,92,1,0,1,0,27,4,-1,0,1.8666666666666667,12,4,5,21,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
train,93,2,0,1,0,21,2,-1,0,3.6666666666666665,14,0,11,47,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
train,94,2,0,1,0,23,3,-1,0,2.6666666666666665,14,0,5,21,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
train,95,3,0,0,0,25,12,-1,0,1.05,9,0,7,30,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
train,96,3,0,0,1,29,2,-1,0,4.183333333333334,16,4,1,4,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
train,97,3,0,0,0,3,1,-1,0,8.983333333333333,14,4,6,22,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
train,98,1,0,0,0,7,5,-1,0,0.7666666666666667,12,3,7,27,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
train,99,1,0,0,0,18,2,95,4,2.95,12,0,1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
train,100,3,0,0,0,16,4,-1,0,1.2666666666666666,14,5,4,15,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
train,101,2,0,1,0,13,2,-1,0,28.683333333333334,11,4,5,19,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
train,102,2,0,0,0,19,1,276,2,19.133333333333333,15,1,7,29,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
train,103,1,0,0,0,4,2,-1,0,10.283333333333333,15,2,5,18,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
train,104,2,0,0,0,17,1,-1,0,1.3833333333333333,9,3,11,46,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
train,105,3,0,0,0,4,1,-1,0,10.0,17,3,8,31,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
train,106,2,0,1,0,2,1,-1,0,2.3,15,1,2,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
train,107,3,0,0,0,20,2,-1,0,3.25,10,5,8,33,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
train,108,3,0,0,0,25,1,-1,0,4.533333333333333,10,2,5,21,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
train,109,2,0,0,1,14,4,-1,0,2.05,9,3,7,28,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
train,110,2,0,1,0,7,4,-1,0,8.233333333333333,13,3,7,27,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
train,111,2,0,0,0,2,2,-1,0,2.6666666666666665,9,3,6,22,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
train,112,2,0,1,0,28,4,-1,0,1.35,12,5,5,21,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
train,113,3,0,1,0,2,2,-1,0,1.2166666666666666,15,2,3,9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
train,114,3,0,1,0,26,3,-1,0,2.65,13,3,5,21,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
train,115,3,0,0,0,30,1,86,3,4.95,10,5,4,17,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
train,116,2,0,1,1,30,4,-1,0,9.05,16,5,7,30,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
train,117,2,0,0,0,4,5,184,1,1.5666666666666667,17,3,2,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
train,118,3,0,0,0,10,1,728,2,7.45,14,2,8,32,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
train,119,3,1,0,0,28,5,-1,0,2.75,13,3,7,30,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
train,120,3,0,0,0,6,1,-1,0,2.35,11,5,2,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
train,121,3,0,0,0,30,2,-1,0,6.15,10,4,12,52,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
train,122,3,0,0,0,9,1,-1,0,3.35,13,2,11,45,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
train,123,1,0,0,0,20,2,-1,0,16.216666666666665,14,0,6,25,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0
train,124,1,0,0,0,15,2,105,2,1.7833333333333334,16,3,9,37,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
train,125,1,0,0,1,10,5,-1,0,2.683333333333333,9,6,7,27,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
