,,Default,HHInsurance,CarLoan,LastContactDay,NoOfContacts,DaysPassed,PrevAttempts,CallLength,CallStartHour,LastContactWkd,LastContactMon,LastContactWk,LastContactWkNum,Job_other,Marital_divorced,Marital_married,Marital_single,Education_0,Communication_other,Outcome_NoPrev,Outcome_other
train,0,0,1,0,28,2,-1,0,1.1666666666666667,13,3,1,4,4,1,0,0,1,1,1,1,0
train,1,0,1,0,26,5,-1,0,3.0833333333333335,14,3,5,21,4,1,0,1,0,1,1,1,0
train,2,0,1,0,3,1,119,1,5.666666666666667,16,4,6,22,1,1,0,0,1,1,1,0,1
train,3,0,1,0,11,2,-1,0,13.65,12,2,5,19,2,1,0,0,1,1,1,1,0
train,4,0,0,0,3,1,-1,0,3.2,14,4,6,22,1,1,0,1,0,1,1,1,0
train,5,0,0,0,22,1,109,1,13.266666666666667,14,6,5,20,3,1,0,0,1,1,1,0,1
train,6,0,1,0,17,1,-1,0,3.25,13,3,3,11,3,1,0,0,1,1,1,1,0
train,7,0,1,0,12,4,-1,0,1.1,15,3,5,19,2,1,1,0,0,1,1,1,0
train,8,0,1,0,18,1,-1,0,1.7666666666666666,12,4,11,46,3,1,0,1,0,1,1,1,0
train,9,0,1,1,12,2,-1,0,5.433333333333334,9,3,5,19,2,1,0,1,0,1,1,1,0
train,10,0,0,0,1,1,-1,0,3.0166666666666666,13,2,6,22,1,1,0,0,1,1,1,1,0
train,11,1,0,0,29,1,-1,0,7.833333333333333,16,4,1,4,4,1,0,1,0,1,1,1,0
train,12,0,1,0,27,1,-1,0,11.683333333333334,16,2,1,4,4,1,0,1,0,1,1,1,0
train,13,0,1,0,19,2,-1,0,2.716666666666667,10,6,6,24,3,1,1,0,0,1,1,1,0
train,14,0,0,0,29,8,97,12,4.6,14,4,7,30,5,1,0,0,1,1,1,0,1
train,15,0,0,0,12,1,114,3,2.183333333333333,16,4,8,32,2,1,0,0,1,1,1,0,1
train,16,0,1,0,6,3,362,4,1.5333333333333334,11,4,5,18,1,1,0,0,1,1,1,0,1
train,17,0,0,0,11,4,95,2,10.966666666666667,11,6,9,36,2,1,0,1,0,1,1,0,1
train,18,0,1,0,6,1,169,2,7.516666666666667,12,4,5,18,1,1,0,1,0,1,1,0,1
train,19,0,0,0,5,1,-1,0,7.6,10,1,4,14,2,1,0,1,0,1,1,1,0
train,20,0,1,1,18,8,-1,0,1.6166666666666667,9,5,6,24,3,1,0,1,0,1,1,1,0
train,21,0,0,0,8,3,91,13,10.1,17,3,9,36,2,1,0,1,0,1,1,0,1
train,22,0,0,0,21,2,-1,0,3.6333333333333333,14,6,8,33,3,1,0,0,1,1,1,1,0
train,23,0,0,0,1,1,119,2,5.066666666666666,15,4,7,26,1,1,0,1,0,1,1,0,1
train,24,0,1,0,9,1,558,7,2.1166666666666667,16,1,2,6,2,1,0,1,0,1,1,0,1
