Job,Marital,Education,Default,HHInsurance,CarLoan,Communication,LastContactDay,NoOfContacts,DaysPassed,PrevAttempts,Outcome,CallStart,CallEnd,AgeBin,BalanceBin,CallLength,CallLengthBin,CallStartHour,LastContactDate,LastContactWkd,LastContactMon,LastContactWk,LastContactWkNum
0,5,2,3,0,1,0,2,27,1,0,0,0,2432,2363,0,0,65,0,4,11,3,0,3,3
1,2,1,1,0,1,0,0,25,4,0,0,0,2993,2967,0,0,180,0,5,106,3,4,20,3
2,5,2,3,0,1,0,1,2,0,86,1,1,3879,3857,0,0,334,0,7,113,4,5,21,0
3,9,2,1,0,1,0,1,10,1,0,0,0,1574,1623,0,0,764,1,3,92,2,4,18,1
4,5,1,3,0,0,0,1,2,0,0,0,0,2885,2845,0,0,187,0,5,113,4,5,21,0
5,10,2,3,0,0,0,1,21,0,76,1,1,3088,3124,0,0,745,1,5,102,6,4,19,2
6,1,2,3,0,1,0,1,16,0,0,0,0,2029,1979,1,0,190,0,4,50,3,2,10,2
7,5,0,3,0,1,0,0,11,3,0,0,0,3441,3384,1,0,61,0,6,93,3,4,18,1
8,1,1,2,0,1,0,1,17,0,0,0,0,1700,1644,0,0,101,0,3,262,4,10,45,2
9,2,1,2,0,1,1,1,11,1,0,0,0,199,195,0,0,320,0,0,93,3,4,18,1
10,8,2,2,0,0,0,1,0,0,0,0,0,2059,2006,0,0,176,0,4,111,2,5,21,0
11,2,1,1,1,0,0,1,28,0,0,0,0,4017,4016,2,0,462,0,7,12,4,0,3,3
12,10,1,2,0,1,0,1,26,0,0,0,0,3789,3819,1,0,669,1,7,10,2,0,3,3
13,7,0,2,0,1,0,0,18,1,0,0,0,803,777,1,0,158,0,1,128,6,5,23,2
14,8,2,2,0,0,0,1,28,7,64,12,2,2698,2669,0,0,271,0,5,167,4,6,29,4
15,5,2,3,0,0,0,1,11,0,81,3,1,3780,3735,2,0,126,0,7,180,4,7,31,1
16,1,2,2,0,1,0,2,5,2,291,4,2,1420,1381,1,0,87,0,2,87,4,4,17,0
17,5,1,3,0,0,0,1,10,3,62,2,2,1239,1278,1,0,635,0,2,206,6,8,35,1
18,2,1,2,0,1,0,1,5,0,125,2,1,1898,1882,2,0,444,0,3,87,4,4,17,0
19,2,1,1,0,0,0,2,4,0,0,0,0,835,847,2,0,449,0,1,64,1,3,13,1
20,2,1,2,0,1,1,0,17,7,0,0,0,48,28,2,0,92,0,0,127,5,5,23,2
21,6,1,2,0,0,0,2,7,2,58,13,3,4449,4470,4,0,590,0,8,203,3,8,35,1
22,5,2,3,0,0,0,1,20,1,0,0,0,2830,2792,0,0,213,0,5,188,6,7,32,2
23,6,1,2,0,0,0,1,0,0,86,2,3,3421,3396,2,0,299,0,6,139,4,6,25,0
